,Unnamed: 0,Modulgruppe,Modul,Kürzel,Voraussetzung,Semester
73,73,Erneuerbare Energien: Wind und Wasser,Tech. Anwendung der modernen Physik,tamp,,6.0
74,74,Erneuerbare Energien: Wind und Wasser,Additive Manufacturing Polymer,amp,,6.0
75,75,Erneuerbare Energien: Wind und Wasser,Drones and Smart Farming,dsf,,6.0
76,76,Erneuerbare Energien: Wind und Wasser,Energiewirtschaft,enwi,,6.0
77,77,Erneuerbare Energien: Wind und Wasser,Machine Learning Analyse von Messdaten,mlam,,6.0
78,78,Erneuerbare Energien: Wind und Wasser,"Materialwiederverwertung, Akzeptanz",mata,,6.0
79,79,Erneuerbare Energien: Wind und Wasser,Mikromobilität,mimo,,6.0
80,80,Erneuerbare Energien: Wind und Wasser,Nachhaltige Produktentwicklung,npe,,6.0
81,81,Projekte: Maschinenbau,Projekt 1 Maschinenbau,pro1M,,
82,82,Projekte: Maschinenbau,Projekt 2 Maschinenbau,pro2M,pro1M,
83,83,Projekte: Maschinenbau,Projekt 3 Maschinenbau,pro3M,"pro2M, stk, elstk, kmk",
84,84,Projekte: Maschinenbau,Projekt 4 Maschinenbau,pro4M,"pro3M, ten1, fems, cfds",
85,85,Projekte: Maschinenbau,Projekt 5 Maschinenbau,pro5M,pro4M,
86,86,Projekte: Maschinenbau,Projekt 6 Maschinenbau (Bachelor Thesis),pro6M,pro5M,
87,87,Projekte: Maschinenbau,Kontext,min. Anzahl Module,,
88,88,Projekte: Maschinenbau,Kommunikation,2,,
89,89,Projekte: Maschinenbau,Englisch,4,,
90,90,Projekte: Maschinenbau,Betriebswirtschaftslehre,2,,
91,91,Projekte: Maschinenbau,Wahlpflichtmodule Geistes- und Sozialwissenschaften (GSW),3,,
